latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
42.465,-123.814,306,1.1,1.1,2018-09-07,0600,T,66,6.0NRT,289.1,9.2,N
42.463,-123.828,315.2,1.1,1.1,2018-09-07,0600,T,91,6.0NRT,289.4,17.2,N
42.414,-124.112,321.6,1.2,1.1,2018-09-07,0600,T,85,6.0NRT,287.9,23.4,N
42.428,-124.087,343.6,1.2,1.1,2018-09-07,0600,T,100,6.0NRT,290.5,61.5,N
42.426,-124.101,351.2,1.2,1.1,2018-09-07,0600,T,100,6.0NRT,291.9,80.9,N
42.489,-123.928,310.1,1.1,1.1,2018-09-07,0600,T,79,6.0NRT,289.3,12.4,N
42.475,-124.011,301.3,1.2,1.1,2018-09-07,0600,T,39,6.0NRT,287.5,6.5,N
42.473,-124.023,301,1.2,1.1,2018-09-07,0600,T,36,6.0NRT,287.7,6.7,N
42.501,-123.917,320.9,1.1,1.1,2018-09-07,0600,T,90,6.0NRT,290,22.2,N
42.498,-123.931,318.8,1.1,1.1,2018-09-07,0600,T,98,6.0NRT,289.1,20.4,N
42.517,-123.879,314.6,1.1,1.1,2018-09-07,0600,T,45,6.0NRT,290.5,14.9,N
42.529,-123.868,324.6,1.1,1.1,2018-09-07,0600,T,100,6.0NRT,290,26.8,N
42.527,-123.882,319,1.1,1.1,2018-09-07,0600,T,89,6.0NRT,290.4,19.7,N
42.536,-123.884,314.3,1.1,1.1,2018-09-07,0600,T,43,6.0NRT,289.3,15.1,N
42.541,-123.912,338.4,1.1,1.1,2018-09-07,0600,T,100,6.0NRT,289.8,49.1,N
42.539,-123.926,381.5,1.1,1.1,2018-09-07,0600,T,100,6.0NRT,296.4,194,N
42.536,-123.94,331.1,1.1,1.1,2018-09-07,0600,T,100,6.0NRT,288.2,37.3,N
42.548,-123.929,325.7,1.1,1.1,2018-09-07,0600,T,100,6.0NRT,287.7,29.6,N
42.546,-123.944,325.8,1.1,1.1,2018-09-07,0600,T,100,6.0NRT,286.8,30.3,N
42.868,-122.714,321,1,1,2018-09-07,0600,T,100,6.0NRT,289.1,21.3,N
42.866,-122.727,305.5,1,1,2018-09-07,0600,T,65,6.0NRT,287.4,8.2,N
42.909,-122.634,307.2,1,1,2018-09-07,0600,T,71,6.0NRT,287.4,9.6,N
44.109,-122.195,304.4,1,1,2018-09-07,0600,T,60,6.0NRT,289.3,7.1,N
45.034,-123.006,331.1,1,1,2018-09-07,0600,T,100,6.0NRT,287,33.6,N
45.231,-123.167,301.2,1,1,2018-09-07,0600,T,39,6.0NRT,286.8,6.7,N
46.572,-121.406,306,1,1,2018-09-07,0600,T,66,6.0NRT,285.7,9,N
47.493,-113.193,303.8,2.2,1.4,2018-09-07,0600,T,35,6.0NRT,286.6,22.9,N
47.504,-113.201,313.9,2.2,1.4,2018-09-07,0600,T,88,6.0NRT,286.3,47.1,N
47.502,-113.225,309.8,2.2,1.4,2018-09-07,0600,T,78,6.0NRT,283.8,36.9,N
47.763,-113.194,302,2.2,1.4,2018-09-07,0600,T,34,6.0NRT,282.9,21.3,N
47.761,-113.198,302.8,2.2,1.4,2018-09-07,0600,T,51,6.0NRT,283.1,25,N
47.775,-113.171,310.7,2.2,1.4,2018-09-07,0600,T,81,6.0NRT,284.1,39.9,N
47.667,-114.794,302.4,1.8,1.3,2018-09-07,0600,T,49,6.0NRT,286.5,16.4,N
36.356,-76.809,303.9,1.1,1,2018-09-07,0655,A,58,6.0NRT,293.3,5.6,N
33.428,-85.498,306.1,3.2,1.7,2018-09-07,0655,A,67,6.0NRT,289.8,40.1,N
33.429,-85.503,306.9,3.2,1.7,2018-09-07,0655,A,70,6.0NRT,289.7,42.9,N
